"","F_value Intercept","p_value Intercept","F_value Brain.mass..g.","p_value Brain.mass..g.","Coefficient Intercept","Coefficient Brain.mass..g.","Coef SE Intercept","Coef SE Brain.mass..g.","Coef tval Intercept","Coef tval Brain.mass..g.","Coef pval Intercept","Coef pval Brain.mass..g.","R t value Brain.mass..g.","p.adjusted GFS vs.Brain.mass..g."
"PTHR16007_SF12",161.511199169533,1.54402289327105e-18,0.0098885212676462,0.921125206989297,0.984499228777785,3.41456300056918e-06,0.0782405544630796,3.43375618057867e-05,12.5829786807346,0.0994410441801885,2.37607750880782e-18,0.921125206989297,0.0129450364867038,0.999797905066956
"PTHR16017",9.79374627428412,0.00272134601028206,1.41796062123631,0.23850823332245,1.09515446784661,-0.000175566354163815,0.335947699076413,0.000147437923461951,3.25989572441604,-1.19078151700314,0.00185283095194346,0.23850823332245,-0.153196574365418,0.945313039899642
"PTHR16021",41.2733442290095,2.52892641390905e-08,3.68931678074422,0.059598636524212,2.63847781268305,0.000363867909587074,0.431651493103292,0.000189439606157042,6.11251867499431,1.92075942812842,8.40600563141337e-08,0.059598636524212,0.242591849351195,0.402069964624544
"PTHR16027_SF4",70.8268768226433,1.08739743754943e-11,0.000292757161791884,0.986406473643181,0.931591496969074,-8.38420502671129e-07,0.111653050042421,4.90013591154364e-05,8.3436278419186,-0.0171101479184689,1.43893756920109e-11,0.986406473643181,-0.00222754599770733,0.999797905066956
"PTHR16029",16.7065445336097,0.000133709722336687,0.412445114559921,0.523218740464785,1.00314867811648,-6.83531526425648e-05,0.242514624785402,0.000106432795300619,4.13644611744198,-0.642218899254702,0.000113365600908382,0.523218740464785,-0.0833190613792218,0.999797905066956
"PTHR16039",57.6968502649611,2.64551336253979e-10,5.84566058112332,0.018722854409963,0.930131144713333,-0.000125733246076569,0.118493845988934,5.20035905697778e-05,7.84961562307797,-2.41778009362376,9.83086468818448e-11,0.018722854409963,-0.300245383273352,0.19291271294846
"PTHR16040",10.1509714567754,0.00230592306834813,0.436832978837404,0.511227671050193,0.981369917179128,-8.77065798226167e-05,0.302368769126801,0.000132701082824388,3.24560608561919,-0.66093341482891,0.00193338788102921,0.511227671050193,-0.0857294186740402,0.999797905066956
"PTHR16043",26.2702929044182,3.44486006753434e-06,0.25564001899656,0.615015267468227,1.00567326280339,-4.33547996717735e-05,0.195382304895318,8.57477559577608e-05,5.14720748812034,-0.50560856301744,3.18043890052946e-06,0.615015267468227,-0.065682484790585,0.999797905066956
"PTHR16046",59.2574302392944,1.77657202269109e-10,0.0285483523540549,0.866404020854397,1.93370195697637,1.8848962507955e-05,0.254190544699444,0.000111557025623872,7.60729302210192,0.168962576785674,2.52990981637753e-10,0.866404020854397,0.0219917339373859,0.999797905066956
"PTHR16050_SF0",47.5589500887428,4.05179913087276e-09,0.0479406725017089,0.827441877341413,1.12827694348883,-1.57945887588902e-05,0.16436855118509,7.21366984676591e-05,6.86431154472074,-0.218953585267994,4.58907707479771e-09,0.827441877341413,-0.028493754818068,0.999797905066956
"PTHR16056",79.8615138133897,1.45763903319398e-12,0.0448251635810512,0.833055516696082,4.12110295642303,-4.30952482631831e-05,0.463800177732525,0.000203548752660496,8.88551396545536,-0.211719539913186,1.77340988869372e-12,0.833055516696082,-0.0275530716190171,0.999797905066956
"PTHR16057",23.1532689243268,1.07592762324365e-05,0.0456642697933573,0.831524005134529,0.963255328763555,1.90552615901801e-05,0.203183820327576,8.91716199650178e-05,4.74080725133812,0.213691997494893,1.38724058048861e-05,0.831524005134529,0.0278095686254267,0.999797905066956
"PTHR16064",4.57887796153067,0.0365146174567818,0.0261939012243189,0.871980662602963,1.03004382636964,3.48496968957548e-05,0.49063822191768,0.000215327209590898,2.09939580806337,0.161845300284929,0.0400692204347423,0.871980662602963,0.0210657876801802,0.999797905066956
"PTHR16065",130.953714310777,1.29512264252171e-16,0.000373199127588567,0.98465231919007,1.0017556509513,-7.48643259985364e-07,0.0883012953183736,3.87529358186802e-05,11.3447446873733,-0.0193183624458329,1.84555097715643e-16,0.98465231919007,-0.00251502861447616,0.999797905066956
"PTHR16070",30.529226987362,7.80965187066648e-07,0.195364927495498,0.660104396362264,1.81429092001885,-6.35832788032344e-05,0.327779723491157,0.000143853230480011,5.5350919840159,-0.442001049201807,7.52871905109081e-07,0.660104396362264,-0.057448599943286,0.999797905066956
"PTHR16073",2.97570705104833,0.0897584049139232,0.226706649036051,0.635735114684853,2.08638767457798,-0.000245902643405466,1.17677527209052,0.000516453313939605,1.77297035726418,-0.476137216604679,0.0813954591906151,0.635735114684853,-0.0618690342371774,0.999797905066956
"PTHR16076",25.58069895528,4.41414917595547e-06,0.47289627251414,0.494352413462978,1.9936320384582,0.000122251712438121,0.405074095705816,0.00017777553971432,4.92164781602345,0.687674539672758,7.24062921660544e-06,0.494352413462978,0.0891709515463587,0.999797905066956
"PTHR16083",91.6508441284512,1.28260319869063e-13,0.190648746633097,0.663971017323201,1.05214251215027,-2.11192171176842e-05,0.110210583852491,4.83683015880531e-05,9.54665582353222,-0.436633423632568,1.41964132973866e-13,0.663971017323201,-0.0567532095674793,0.999797905066956
"PTHR16088_SF10",5.4596954966934,0.0228756426137908,0.190451967429434,0.664133584648942,1.58249566657426,-0.00012767870981375,0.666635165280695,0.000292567279805492,2.37385566947692,-0.436408028603318,0.0208773340027532,0.664133584648942,-0.0567240072190335,0.999797905066956
"PTHR16089_SF11",14.369473711911,0.000355302000363547,0.7190511631544,0.399882380131938,1.53527763525389,0.000156768873017632,0.421252416366306,0.000184875746115024,3.64455508290514,0.847968845627244,0.000567250720511384,0.399882380131938,0.109729511838732,0.999797905066956
"PTHR16089_SF12",49.150344629432,2.59454487069787e-09,0.333312721537292,0.565911588994197,1.84543842364639,6.80424321310349e-05,0.268544553902798,0.00011785659343194,6.87200092806336,0.577332418574682,4.45376995917745e-09,0.565911588994197,0.0749508645032008,0.999797905066956
"PTHR16089_SF23",81.2864340045528,1.07477453885376e-12,0.0681219413591637,0.795000008246106,1.01507782582543,-1.29614251075429e-05,0.113154469295083,4.96602894711641e-05,8.97072676094055,-0.261001803363815,1.27821847107521e-12,0.795000008246106,-0.033959940970073,0.999797905066956
"PTHR16092_SF19",21.8193762917698,1.77790897636285e-05,0.294984263673634,0.589090194336211,0.988820188448581,-5.01282988415357e-05,0.210303261326576,9.2296140835344e-05,4.70187757532234,-0.543124537904184,1.59376861739738e-05,0.589090194336211,-0.0705326896406625,0.999797905066956
"PTHR16092_SF8",47.0394358515976,4.69350279291933e-09,0.00583822540318404,0.939352796021543,0.95858159013053,-4.72161653036165e-06,0.140803272558242,6.17945655818064e-05,6.80794964999141,-0.076408280985663,5.71427617907235e-09,0.939352796021543,-0.00994701876007535,0.999797905066956
"PTHR16093",12.943247705028,0.000657761657477083,0.155070251029124,0.695155978373761,1.83856318627424,9.04349650052757e-05,0.523280553197114,0.000229653003617849,3.51353241591165,0.393789602489862,0.000855751073664541,0.695155978373761,0.0511997992016018,0.999797905066956
"PTHR16095",110.426527761694,3.88225247786269e-15,0.0266637439283916,0.870847863332807,2.04544179623892,-1.40445488898219e-05,0.195979071013521,8.60096596930807e-05,10.4370420048465,-0.16329036691854,5.05353253450771e-15,0.870847863332807,-0.0212537929946411,0.999797905066956
"PTHR16096",19.9749428544801,3.61721196698979e-05,0.253146431413124,0.616741451238732,1.06460679856807,-5.22795238200008e-05,0.236759919585275,0.00010390721829213,4.49656681938777,-0.503136593196245,3.28901470397609e-05,0.616741451238732,-0.0653627319918131,0.999797905066956
"PTHR16099",3.26931524304614,0.0756845310704043,0.197229407884105,0.658591196726571,1.04417049203908,-0.000109943363458253,0.56408642576918,0.000247561544541387,1.85108246598075,-0.444105176601337,0.0691650179947252,0.658591196726571,-0.0577211725697574,0.999797905066956
"PTHR16100",10.9233131465485,0.00161859830474381,1.61931883696004,0.208178923714613,1.59666063372605,0.000287012243099447,0.513921402251781,0.00022554553753149,3.10681872117054,1.27252459188813,0.00290681536035242,0.208178923714613,0.163440867198107,0.883647016842388
"PTHR16105",37.2115229543051,8.81512882529027e-08,4.04272470141916,0.0489395602785918,2.3147489394147,-0.000323546766981573,0.36665908121359,0.000160916278638666,6.31308225546522,-2.0106528047923,3.88705945941444e-08,0.0489395602785918,-0.253232589787049,0.356250533805968
"PTHR16106",20.3017647495752,3.18505053407028e-05,0.00349110282269148,0.953083638195777,0.99138565462953,-5.74638499419592e-06,0.221603116916976,9.72553271856265e-05,4.47369905451716,-0.0590855551102931,3.56253624388132e-05,0.953083638195777,-0.00769205650363413,0.999797905066956
"PTHR16112",395.524065799757,7.69159397447226e-28,9.46492424591927,0.00317319171098133,1.93731996403406,0.00013550893415424,0.100362581480945,4.4046292466095e-05,19.3032097764632,3.07651170092351,3.55051115483086e-27,0.00317319171098133,0.371812944274806,0.0502130009398232
"PTHR16119",92.2586280514988,1.13756648461499e-13,0.0248652189321663,0.87524180982353,0.918739252411273,6.69331128097433e-06,0.0967180082855111,4.24467925876404e-05,9.4991539703667,0.157687091837494,1.69989941463224e-13,0.87524180982353,0.020524786189666,0.999797905066956
"PTHR16121_SF0",154.260531137166,4.16479501123231e-18,0.0446531255176414,0.833371362374243,1.00763620888198,-7.5737940050607e-06,0.081667643199702,3.58416139193644e-05,12.3382550224696,-0.21131286169479,5.53060381784751e-18,0.833371362374243,-0.0275001867891122,0.999797905066956
"PTHR16122_SF19",23.4854003050653,9.50805406401015e-06,0.25405045627886,0.616114410637402,1.00125069324495,4.6762460223276e-05,0.211397490509935,9.2776367010518e-05,4.73634143352282,0.504034181657217,1.40953412766688e-05,0.616114410637402,0.0654788386643645,0.999797905066956
"PTHR16122_SF5",23.1936315830748,1.05985178653819e-05,0.332881608608712,0.566162214526147,0.99406990832039,5.35924807452376e-05,0.211651536299501,9.28878605072167e-05,4.69672899947069,0.576958931474946,1.62323903066565e-05,0.566162214526147,0.074902649512276,0.999797905066956
"PTHR16124",24.7329151415754,6.00568488930115e-06,0.0155591724097947,0.90115626119885,0.955729609165114,1.06500647323029e-05,0.194545623884915,8.53805603760884e-05,4.91262455602951,0.124736411724062,7.48092816213284e-06,0.90115626119885,0.0162371567539811,0.999797905066956
"PTHR16125",16.9502485367444,0.000121012248768879,0.879642864029363,0.352123151457618,1.62971794349919,0.000169565535965352,0.411952232086937,0.000180794158827082,3.95608475099913,0.937892778535672,0.000206966214190327,0.352123151457618,0.121203061862205,0.999797905066956
"PTHR16127_SF14",2.55687775911852,0.115157340094203,1.18498848877429,0.280769446648691,1.20216285468411,-0.000332094445718958,0.695131568145642,0.000305073543358104,1.72940333855222,-1.08857176555994,0.0889661641782072,0.280769446648691,-0.1403178671925,0.999797905066956
"PTHR16134",7.28495432299029,0.00905622665960683,5.21514938144464,0.0260073535456579,0.759583936168895,0.000320952898966751,0.320236176424043,0.000140542581476698,2.37194918029213,2.28367015600866,0.020975675306706,0.0260073535456579,0.284980161200582,0.239862814941956
"PTHR16148_SF4",6.63118883881849,0.0125480061475384,4.1975444127348,0.044938880536378,1.11546347558416,-0.000355118536984661,0.39494639879151,0.000173330780584841,2.82434142708315,-2.04879096365022,0.00645261393153936,0.044938880536378,-0.25771965902721,0.339586970303216
"PTHR16148_SF5",63.0812926983636,6.84863939480321e-11,0.0344837115745326,0.853318625567868,1.06643913672479,-1.10061280407423e-05,0.135048580690558,5.9268994424548e-05,7.89670747572212,-0.185697904066073,8.18235261872716e-11,0.853318625567868,-0.0241687459837935,0.999797905066956
"PTHR16148_SF6",31.3528097550507,5.91343348438098e-07,0.00940914978031355,0.923054542869787,1.20594408492121,-9.22905737883967e-06,0.216792683141569,9.51441641422506e-05,5.56266045258416,-0.0970007720603994,6.78840501680683e-07,0.923054542869787,-0.0126274180268855,0.999797905066956
