2024-12-17 03:35:49 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:50 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:50 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:54 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:57 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:59 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:35:59 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:02 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:02 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:05 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:06 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:06 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:07 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:07 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:08 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:10 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:10 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:10 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:13 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:14 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:15 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:18 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:21 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:21 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:21 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:23 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:36:28 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
