"Iteration","Removed_Species","Success","Error_Message"
145,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
146,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
147,"Cebus_capucinus_imitator",TRUE,NA
148,"Phascolarctos_cinereus",FALSE,"non-numeric argument to binary operator"
149,"Capra_hircus",TRUE,NA
150,"Panthera_pardus",TRUE,NA
151,"Tursiops_truncatus",TRUE,NA
152,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
153,"Cebus_capucinus_imitator",TRUE,NA
154,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
155,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
156,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
157,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
158,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
159,"Phascolarctos_cinereus",FALSE,"non-numeric argument to binary operator"
160,"Neovison_vison",TRUE,NA
161,"Macaca_mulatta",TRUE,NA
162,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
163,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
164,"Octodon_degus",FALSE,"non-numeric argument to binary operator"
165,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
166,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
167,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
168,"Papio_anubis",TRUE,NA
169,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
170,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
171,"Capra_hircus",TRUE,NA
172,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
173,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
174,"Pan_paniscus",TRUE,NA
175,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
176,"Macaca_nemestrina",TRUE,NA
177,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
