"","F_value Intercept","p_value Intercept","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient cEi","Coef SE Intercept","Coef SE cEi","Coef tval Intercept","Coef tval cEi","Coef pval Intercept","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi"
"PTHR22988",241.346984269111,1.778907323867e-19,5.02116726355,0.030135990185609,5.76302849586933,-0.953318586819271,0.608703026012377,0.425437449287685,9.46771783544928,-2.24079612270952,3.51128218449597e-12,0.030135990185609,-0.320044612048382,0.148383875485332
"PTHR22990",444.200727794463,1.27092249299655e-24,1.18874988893485,0.281516968458581,1.91079974120094,-0.102429229060494,0.134415206588137,0.0939460791101297,14.2156515598406,-1.09029807343444,4.68364982938343e-18,0.281516968458581,-0.162192243493808,0.627502623642453
"PTHR22992_SF3",51.8671400377565,5.78994570302352e-09,0.0534362875064642,0.818259846699761,1.0819071496787,-0.0352625364768275,0.218255478587899,0.152544098083079,4.95706754615543,-0.2311629025308,1.11093515195223e-05,0.818259846699761,-0.0348279765854015,0.935671198769758
"PTHR22992_SF89",13.7840255564593,0.000573952945428103,3.53196205294329,0.0668295470436441,1.18708088225321,-1.18351811018211,0.901024578493092,0.629748139960484,1.31747891299317,-1.87935149797564,0.194497572752927,0.0668295470436441,-0.272593278892182,0.261997162627973
"PTHR22993",145.357796617847,1.54199508331463e-15,7.45997580542355,0.00904352603532851,3.54391014274313,0.644821835884402,0.33778531956337,0.236086430690659,10.4916049854508,2.73129562761404,1.48935009349892e-13,0.00904352603532851,0.380744747341089,0.0640479857570526
"PTHR22997_SF2",35.7273761353722,3.6448486330475e-07,0.912216287538421,0.344745261154263,1.21448282050525,0.164753073915325,0.246805230686632,0.172498218880293,4.92081475391126,0.955100145292849,1.25185229404762e-05,0.344745261154263,0.142516998662818,0.680313499336957
"PTHR23001_SF7",12.686236046618,0.000899510781015067,4.95029007674418,0.0312612060130797,0.678638371809845,-1.09116103644854,0.701686740636294,0.490426044192565,0.967152908140249,-2.22492473507402,0.338753819870372,0.0312612060130797,-0.318007739210972,0.153194725201538
"PTHR23002",70.7692013972215,1.03955088856602e-10,1.15590641146599,0.288176532279533,4.1330631273853,0.461039459266426,0.613545118973112,0.428821706619087,6.73636379717729,1.07513088108657,2.78627607823711e-08,0.288176532279533,0.159994131843066,0.632568474692393
"PTHR23003_SF6",10.1427336508292,0.00266199423996905,0.426192472545524,0.517259868758621,1.34150724418529,-0.339149442310066,0.743289442736534,0.519503191354047,1.80482483276814,-0.652834184571797,0.0779485579134124,0.517259868758621,-0.0979452413061531,0.811679387271704
"PTHR23004_SF5",91.123544966279,2.74613960881572e-12,0.391245820579669,0.534876305021427,1.04829537571668,-0.072216807696388,0.165189780342582,0.115455182238427,6.34600623321042,-0.625496459286277,1.04531896962745e-07,0.534876305021427,-0.0938806718449592,0.817232507413602
"PTHR23005",35.7906242614415,3.58021683385232e-07,2.10841912045005,0.153584487162307,1.93028933275902,0.371436353770929,0.365995443772784,0.255803177240064,5.27408022586581,1.45203964148712,3.88098196130218e-06,0.153584487162307,0.213839710064403,0.454343522253662
