"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","Coefficient Intercept","Coefficient log10MLSP","Coef SE Intercept","Coef SE log10MLSP","Coef tval Intercept","Coef tval log10MLSP","Coef pval Intercept","Coef pval log10MLSP","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR14592",100.543478697533,6.1449505347011e-13,0.0477689815494387,0.828002511383785,3.89032276016734,0.103192148030583,0.705029533675363,0.472143115778094,5.51795715547808,0.218561162033511,1.71537457104198e-06,0.828002511383785,0.0329314636033082,0.966457700891399
"PTHR14611",138.886735585965,3.33053370535108e-15,0.275255785281198,0.602461214320936,3.20342422312688,-0.157890526552059,0.449388022984468,0.300945494097475,7.12841477583749,-0.52464824909762,7.41459705819153e-09,0.602461214320936,-0.0788474565362812,0.932379877758852
"PTHR14628",41.6478722708199,7.26144019467889e-08,0.178087687357891,0.67507671799113,0.863861459926559,0.0735367850908539,0.260208416881305,0.17425598053683,3.31988284729703,0.422004368884839,0.00181623657352337,0.67507671799113,0.0634911934561746,0.939550072216762
"PTHR14647",113.469412148,9.18241780337516e-14,1.51286939721962,0.22523783797928,3.71469856203343,0.606994249545178,0.736915185449204,0.493496251012921,5.04087666448216,1.22998755978247,8.42321620249828e-06,0.22523783797928,0.182319705453229,0.737012419210683
"PTHR14662",14.9394814414029,0.000361691740879225,0.394968071377249,0.532948424471024,1.22949793028732,-0.190699434156209,0.453108342119036,0.303436911809761,2.71347449604961,-0.628464852937099,0.00946940753651434,0.532948424471024,-0.09432224318791,0.911048964062121
"PTHR14677_SF11",20.9126148028216,3.89376835481059e-05,0.0854564835164434,0.771408829250026,1.25111706285167,-0.0862686967634367,0.440670904164156,0.295107827100783,2.8391188322831,-0.292329409256824,0.00682227102665951,0.771408829250026,-0.0440275823349509,0.960257353967263
"PTHR14678",38.5528691654409,1.66239191887174e-07,0.100102259557127,0.753203111090566,2.36576195050951,0.153387692910506,0.723939416184124,0.484806657403281,3.26790045910114,0.31638941125949,0.00210591901861796,0.753203111090566,0.0476433336735081,0.958993185432152
"PTHR14682",8.88468187059212,0.00467093298362081,1.2699639171522,0.265881924644038,1.96405836134395,-0.565507675727769,0.749335764871647,0.501814045925299,2.6210658204475,-1.12692675766981,0.0119894849853313,0.265881924644038,-0.167490668786424,0.767274204229322
"PTHR14690",16.665989202092,0.000185047268812688,0.155896431879087,0.694870580653622,1.42471967152966,0.188841475742044,0.71418865368403,0.4782767814646,1.99487861390749,0.394837222003052,0.0522729751802307,0.694870580653622,0.0594187805603775,0.947884143002435
"PTHR14699",95.5138332864015,1.3494306834159e-12,0.539537199388613,0.46652135149436,2.27851734721951,-0.182011229161936,0.370016536931136,0.247792116913686,6.15787976969139,-0.73453195940586,1.97736016790356e-07,0.46652135149436,-0.110062113091907,0.883887688027238
"PTHR14705",9.24223086220116,0.00397353499302027,7.10921991805812,0.0106872793953177,-0.261537997920957,1.00104162924051,0.560628035864264,0.375440538307136,-0.466508952799282,2.6663120443898,0.64315284703293,0.0106872793953177,0.372959220357755,0.133140324033235
"PTHR14709",126.640498081519,1.54678606160644e-14,0.0637532529855654,0.801835036724627,2.05715575428628,-0.0526843521466053,0.311576086056682,0.208655803829748,6.60241862692905,-0.252494065248206,4.38477958124798e-08,0.801835036724627,-0.0380373656462386,0.963476786214745
"PTHR14715",190.353276768293,1.37892631061577e-17,0.658682794328686,0.421394275815746,2.20465377073126,-0.140841629847965,0.259135272078263,0.173537318542136,8.50773325086141,-0.811592751525472,7.61755247129014e-11,0.421394275815746,-0.121446556385494,0.860917277510616
"PTHR14730",2.77998536576519,0.102552345081505,0.331959640674871,0.567443105369346,0.459283143974162,0.374383758966089,0.970304411282542,0.64979199609972,0.47333923110489,0.57615938825543,0.638311224445052,0.567443105369346,0.0865334817566555,0.92410771816902
"PTHR14738",23.9396241131689,1.37263299725973e-05,0.00186131851609458,0.965782736764249,1.10205561230523,0.0116003787188194,0.401509168921474,0.268882055252095,2.74478317709544,0.0431430007775836,0.00873304079360447,0.965782736764249,0.00650391452168776,0.993966434346883
"PTHR14740",30.6114543096815,1.63215888376268e-06,2.24305348047771,0.141355898449735,0.561781866763676,0.294761639288503,0.293889992075561,0.196811807061756,1.91153792885618,1.49768270353827,0.0624622174103591,0.141355898449735,0.220240184689857,0.615824071283307
"PTHR14742_SF0",0.723580503423008,0.399577429786584,14.0371500785736,0.000518240187121568,-4.66723610389498,4.5046396617283,1.79537111189993,1.20232142096437,-2.5995940744284,3.7466184858581,0.0126570175711725,0.000518240187121568,0.491797631112988,0.0138521757253144
"PTHR14754",6.67141342187973,0.0131990782854128,1.16158624048517,0.287010320307794,2.02371551822694,2.51465109607962,3.48406023380841,2.33320020761896,0.580849750698721,1.07776910351205,0.564305225637537,0.287010320307794,0.160376649323739,0.78226374777893
"PTHR14758",9.97359857178796,0.00286798212729947,0.7925958297502,0.378158550629818,1.98131760489201,1.11232543746825,1.86569061055731,1.24941287686832,1.06197543884308,0.890278512461241,0.294041127739685,0.378158550629818,0.133021786365936,0.834302411099466
"PTHR14768",40.3763507880891,1.0165582994454e-07,0.00616619683666686,0.937766370982638,3.06667852243217,0.0454769725032968,0.864801633524831,0.579139054861791,3.54610630178015,0.0785251350630285,0.000942028697731927,0.937766370982638,0.0118372801138871,0.986670493610834
"PTHR14787",21.2169004809677,3.49786433784022e-05,1.09796623868853,0.300434823155927,1.83750255461727,-0.370556841717563,0.528073034606011,0.353639154118159,3.47963716039432,-1.04783884194495,0.00114477169154401,0.300434823155927,-0.156032840447456,0.784740339390818
"PTHR14791",177.809476668878,4.65423779427647e-17,0.0307273465370699,0.86165426108119,3.05739506321392,0.0482858140476588,0.411330275681794,0.27545903922897,7.432944385497,0.175292174774203,2.66521701176902e-09,0.86165426108119,0.026417067101568,0.977352792354202
"PTHR14796",234.043618005628,3.15406617710351e-19,0.463526267303985,0.49954796563764,2.22465474548542,-0.109613537945946,0.240414506234709,0.161000424280346,9.25341311690052,-0.680827634063119,6.91542354480146e-12,0.49954796563764,-0.102102229124264,0.899547920877983
"PTHR14845",14.4260850889264,0.000443455133452834,3.7473366325437,0.0593331584650792,0.4257921294601,0.976335625815737,0.75313257197172,0.504356685983074,0.565361458667716,1.93580387243742,0.574699669988118,0.0593331584650792,0.280147517633558,0.425761628373268
"PTHR14854",35.1892441134762,4.24672416338252e-07,0.402667748349738,0.529000551795164,1.23572959800489,0.184341168942915,0.433793022586223,0.290501857729217,2.84866176647475,0.634561067470844,0.00665232736298155,0.529000551795164,0.095228927079956,0.911048964062121
